Дата,Группа аллергенов,Пыльца и споры,"Концентрация, ед/1 м3",Комментарий
21.04.11,Лиственные деревья,Береза,1,Единичные пыльцевые зерна.
21.04.11,Лиственные деревья,Ива,1,Единичные пыльцевые зерна.
21.04.11,Хвойные деревья,Сосна,1,Единичные пыльцевые зерна.
20.04.11,Лиственные деревья,Береза,1,Единичные пыльцевые зерна.
20.04.11,Лиственные деревья,Ива,2,Единичные пыльцевые зерна.
20.04.11,Хвойные деревья,Сосна,1,Единичные пыльцевые зерна.
20.04.11,Грибы,Альтернария,1,Не значительная концентрация спор.
05.05.10,Хвойные деревья,Сосна,0.84,концентрация единичная
05.05.10,Грибы,Кладоспориум,2047,концентрация низкая
11.09.06,Лиственные деревья,Ольха,0,
11.09.06,Лиственные деревья,Орешник,0,
11.09.06,Лиственные деревья,Тополь,0,
11.09.06,Лиственные деревья,Береза,0,
11.09.06,Лиственные деревья,Клен,0,
11.09.06,Лиственные деревья,Вяз,0,
11.09.06,Лиственные деревья,Ясень,0,
11.09.06,Лиственные деревья,Ива,0,
11.09.06,Лиственные деревья,Дуб,0,
11.09.06,Лиственные деревья,Липа,0,
11.09.06,Хвойные деревья,Ель,0,
11.09.06,Хвойные деревья,Сосна,0,
11.09.06,Злаки,Злаки,140,"Продолжается цветние, концентрация высокая"
11.09.06,Сорняки,Маревые,119,"Продолжается цветние, концентрация высокая"
11.09.06,Сорняки,Подорожник,0,
11.09.06,Сорняки,Щавель,0,
11.09.06,Сорняки,Крапива,0,
11.09.06,Сорняки,Полынь,18,"Продолжается пыление, концентрация низкая"
11.09.06,Сорняки,Амброзия,19,"Продолжается цветние, концентрация низкая"
11.09.06,Грибы,Кладоспориум,2500,"Продолжается спорообразование, концентрация на очень высоком уровне"
11.09.06,Грибы,Альтернария,2056,"Продолжается спорообразование, концентрация на очень высоком уровне"
04.09.06,Лиственные деревья,Ольха,0,
04.09.06,Лиственные деревья,Орешник,0,
04.09.06,Лиственные деревья,Тополь,0,
04.09.06,Лиственные деревья,Береза,0,
04.09.06,Лиственные деревья,Клен,0,
04.09.06,Лиственные деревья,Вяз,0,
04.09.06,Лиственные деревья,Ясень,0,
04.09.06,Лиственные деревья,Ива,0,
04.09.06,Лиственные деревья,Дуб,0,
04.09.06,Лиственные деревья,Липа,0,
04.09.06,Хвойные деревья,Ель,0,
04.09.06,Хвойные деревья,Сосна,0,
04.09.06,Злаки,Злаки,56,"Продолжается пыление, концентрация умеренная"
04.09.06,Сорняки,Маревые,342,"Продолжается пыление, концентрация на высоком уровне"
04.09.06,Сорняки,Подорожник,0,
04.09.06,Сорняки,Щавель,0,
04.09.06,Сорняки,Крапива,0,
04.09.06,Сорняки,Полынь,59,"Продолжается цветение, концентрация от высокой до умеренной"
04.09.06,Сорняки,Амброзия,27,"Продолжается пыление, концентрация от низкой до умеренной"
04.09.06,Грибы,Кладоспориум,1806,"Продолжается спорообразование, концентрация высокая"
04.09.06,Грибы,Альтернария,986,"Продолжается спорообразование, концентрация умеренная"
28.08.06,Лиственные деревья,Ольха,0,
28.08.06,Лиственные деревья,Орешник,0,
28.08.06,Лиственные деревья,Тополь,0,
28.08.06,Лиственные деревья,Береза,0,
28.08.06,Лиственные деревья,Клен,0,
28.08.06,Лиственные деревья,Вяз,0,
28.08.06,Лиственные деревья,Ясень,0,
28.08.06,Лиственные деревья,Ива,0,
28.08.06,Лиственные деревья,Дуб,0,
28.08.06,Лиственные деревья,Липа,0,
28.08.06,Хвойные деревья,Ель,0,
28.08.06,Хвойные деревья,Сосна,0,
28.08.06,Злаки,Злаки,1,"Продолжается цветение, концентрация на низком уровне"
28.08.06,Сорняки,Маревые,240,"Продолжается цветение,концентрация на очень высоком уровне"
28.08.06,Сорняки,Подорожник,0,
28.08.06,Сорняки,Щавель,0,
28.08.06,Сорняки,Крапива,0,
28.08.06,Сорняки,Полынь,97,"Продолжается пыление , концентрация на высоком уровне"
28.08.06,Сорняки,Амброзия,21,"Продолжается пыление, концентрация умеренная"
28.08.06,Грибы,Кладоспориум,4584,"Продолжается спорообразование, концентрация на очень высоком уровне"
28.08.06,Грибы,Альтернария,861,"Продолжается спорообразование, концентрация на умеренном уровне"
17.08.06,Лиственные деревья,Ольха,0,
17.08.06,Лиственные деревья,Орешник,0,
17.08.06,Лиственные деревья,Тополь,0,
17.08.06,Лиственные деревья,Береза,0,
17.08.06,Лиственные деревья,Клен,0,
17.08.06,Лиственные деревья,Вяз,0,
17.08.06,Лиственные деревья,Ясень,0,
17.08.06,Лиственные деревья,Ива,0,
17.08.06,Лиственные деревья,Дуб,0,
17.08.06,Лиственные деревья,Липа,0,
17.08.06,Хвойные деревья,Ель,0,
17.08.06,Хвойные деревья,Сосна,0,
17.08.06,Злаки,Злаки,2,"Продолжается цветние, концентрация низкая"
17.08.06,Сорняки,Маревые,171,"Продолжается цветение, концентрация на высоком уровне"
17.08.06,Сорняки,Подорожник,0,
17.08.06,Сорняки,Щавель,0,
17.08.06,Сорняки,Крапива,4,"Продолжается цветение, концентрация низкая"
17.08.06,Сорняки,Полынь,20,"Продолжается пыление, концентрация низкая"
17.08.06,Сорняки,Амброзия,7,"Продолжается пыление, концентрация низкая"
17.08.06,Грибы,Кладоспориум,2625,"Продолжается спорообразование, концентрация высокая"
17.08.06,Грибы,Альтернария,167,"Продолжается спорообразование, концентрация низкая"
14.08.06,Лиственные деревья,Ольха,0,
14.08.06,Лиственные деревья,Орешник,0,
14.08.06,Лиственные деревья,Тополь,0,
14.08.06,Лиственные деревья,Береза,0,
14.08.06,Лиственные деревья,Клен,0,
14.08.06,Лиственные деревья,Вяз,0,
14.08.06,Лиственные деревья,Ясень,0,
14.08.06,Лиственные деревья,Ива,0,
14.08.06,Лиственные деревья,Дуб,0,
14.08.06,Лиственные деревья,Липа,0,
14.08.06,Хвойные деревья,Ель,0,
14.08.06,Хвойные деревья,Сосна,0,
14.08.06,Злаки,Злаки,1,"Продолжается цветение, концентрация низкая"
14.08.06,Сорняки,Маревые,173,"Продолжается цветение, концентрация высокая"
14.08.06,Сорняки,Подорожник,0,
14.08.06,Сорняки,Щавель,0,
14.08.06,Сорняки,Крапива,0,
14.08.06,Сорняки,Полынь,8,"Продолжается цветение, концентрация низкая"
14.08.06,Сорняки,Амброзия,1,"Продолжается цветение, концентрация низкая"
14.08.06,Грибы,Кладоспориум,3320,"Продолжается спорообразование, концентрация очень высокая"
14.08.06,Грибы,Альтернария,138,"Продолжается спорообразование, концентрация низкая"
07.08.06,Лиственные деревья,Ольха,0,
07.08.06,Лиственные деревья,Орешник,0,
07.08.06,Лиственные деревья,Тополь,0,
07.08.06,Лиственные деревья,Береза,0,
07.08.06,Лиственные деревья,Клен,0,
07.08.06,Лиственные деревья,Вяз,0,
07.08.06,Лиственные деревья,Ясень,0,
07.08.06,Лиственные деревья,Ива,0,
07.08.06,Лиственные деревья,Дуб,0,
07.08.06,Лиственные деревья,Липа,0,
07.08.06,Хвойные деревья,Ель,0,
07.08.06,Хвойные деревья,Сосна,0,
07.08.06,Злаки,Злаки,2,"Продолжается цветение, концентрация низкая"
07.08.06,Сорняки,Маревые,121,"Продолжается цветение, концентарция умеренная"
07.08.06,Сорняки,Подорожник,0,
07.08.06,Сорняки,Щавель,0,
07.08.06,Сорняки,Крапива,1,"Продолжается цветение, концентрация снизилась"
07.08.06,Сорняки,Полынь,31,"Продолжается цветние, концентрация умеренная"
07.08.06,Сорняки,Амброзия,5,"Продолжеатся цветние, концентрация низкая"
07.08.06,Грибы,Кладоспориум,1945,"Продолжаестся спорообразование, концентрация умеренная"
07.08.06,Грибы,Альтернария,680,"Продолжается спорообразование, концентрация низкая"
03.08.06,Лиственные деревья,Ольха,0,
03.08.06,Лиственные деревья,Орешник,0,
03.08.06,Лиственные деревья,Тополь,0,
03.08.06,Лиственные деревья,Береза,0,
03.08.06,Лиственные деревья,Клен,0,
03.08.06,Лиственные деревья,Вяз,0,
03.08.06,Лиственные деревья,Ясень,0,
03.08.06,Лиственные деревья,Ива,0,
03.08.06,Лиственные деревья,Дуб,0,
03.08.06,Лиственные деревья,Липа,0,
03.08.06,Хвойные деревья,Ель,0,
03.08.06,Хвойные деревья,Сосна,0,
03.08.06,Злаки,Злаки,1,"Продолжается цветение, концентрация низкая"
03.08.06,Сорняки,Маревые,96,"Продолжается пыление, концентрация умеренная"
03.08.06,Сорняки,Подорожник,0,
03.08.06,Сорняки,Щавель,0,
03.08.06,Сорняки,Крапива,30,"Продолжается цветение, концентарция умеренная"
03.08.06,Сорняки,Полынь,23,"Продолжается пыление,концентарция умеренная"
03.08.06,Сорняки,Амброзия,2,"Продолжается цветение, концентарция низкая"
03.08.06,Грибы,Кладоспориум,1972,"Продолжается спорообразование, концентрация умеренная"
03.08.06,Грибы,Альтернария,375,"Продолжается спообразование, концентарция низкая"
27.07.06,Лиственные деревья,Ива,0,
27.07.06,Лиственные деревья,Дуб,0,
27.07.06,Лиственные деревья,Липа,0,
27.07.06,Хвойные деревья,Ель,0,
27.07.06,Хвойные деревья,Сосна,0,
27.07.06,Злаки,Злаки,2,"Продолжается цветение, концентрация низкая"
27.07.06,Сорняки,Маревые,31,"Продолжается цветение, концентрация умеренная"
27.07.06,Сорняки,Подорожник,0,
27.07.06,Сорняки,Щавель,0,
