Дата,Группа аллергенов,Пыльца и споры,"Концентрация, ед/1 м3",Комментарий
27.06.12,Лиственные деревья,Липа,9,Концентрация невысокая
27.06.12,Хвойные деревья,Сосна,21,"Пыление закончилось, вторичный подъем"
27.06.12,Злаки,Злаки,143,Высокое содержание пыльцы в воздухе
27.06.12,Сорняки,Подорожник,4,Концентрация невысокая
27.06.12,Сорняки,Щавель,2,Концентрация невысокая
27.06.12,Сорняки,Крапива,7,Концентрация невысокая
27.06.12,Грибы,Альтернария,3,Содержание спор грибов невысокое
25.06.12,Лиственные деревья,Береза,15,"Пыление закончилось, вторичный подъем"
25.06.12,Лиственные деревья,Липа,12,Концентрация пыльцы невысокая
25.06.12,Хвойные деревья,Сосна,22,"Пыление закончилось, вторичный подъем"
25.06.12,Злаки,Злаки,90,Высокое содержание пыльцы в воздухе
25.06.12,Сорняки,Подорожник,3,Концентрация пыльцы низкая
25.06.12,Сорняки,Щавель,3,Концентрация пыльцы низкая
25.06.12,Грибы,Кладоспориум,60,Содержание спор грибов невысокое
25.06.12,Грибы,Альтернария,50,Содержание спор грибов невысокое
22.06.12,Лиственные деревья,Береза,16,"Пыление давно закончилось, вторичный подъем"
22.06.12,Лиственные деревья,Липа,14,Концентрация пыльцы низкая
22.06.12,Хвойные деревья,Сосна,28,"Пыление давно закончилось, вторичный подъем"
22.06.12,Злаки,Злаки,89,Содержание пыльцы высокое.
22.06.12,Сорняки,Подорожник,7,Концентрация пыльцы низкая
22.06.12,Сорняки,Щавель,6,Концентрация пыльцы низкая
22.06.12,Сорняки,Амброзия,72,Содержание спор грибов высокое
22.06.12,Грибы,Кладоспориум,560,Содержание спор грибов высокое
20.06.12,Злаки,Злаки,111,Высокое содержание злаков в воздухе города
20.06.12,Сорняки,Подорожник,7,концентрация пыльцы низкая
20.06.12,Сорняки,Щавель,4,концентрация пыльцы низкая
20.06.12,Грибы,Кладоспориум,800,Содержание спор грибов высокое
20.06.12,Грибы,Альтернария,600,Содержание спор грибов высокое
18.06.12,Злаки,Злаки,91,концентрация высокая
18.06.12,Сорняки,Щавель,9,концентрация низкая
