Дата,Группа аллергенов,Пыльца и споры,"Концентрация, ед/1 м3",Комментарий
03.09.09,Грибы,Кладоспориум,2200,Концентрация спор снизилась. Продолжается умеренное спороношение.
03.09.09,Грибы,Альтернария,7,Спороношение продолжается. Концентрация умеренная.
02.09.09,Грибы,Кладоспориум,3054,Концентрация спор грибов повысилась.
02.09.09,Грибы,Альтернария,8,Спорношение продолжается.
01.09.09,Грибы,Кладоспориум,2619,Спороношение более имнтенсивно.
01.09.09,Грибы,Альтернария,7,Умеренное спорношение.
31.08.09,Грибы,Кладоспориум,1797,Продолжается умеренное спороношение.
31.08.09,Грибы,Альтернария,4,Спороношение на прежнем уровне.
30.08.09,Грибы,Кладоспориум,1677,"Умеренное спороношение, отмечается снижение концентрации."
30.08.09,Грибы,Альтернария,5,Спороношение на прежнем уровне.
29.08.09,Грибы,Кладоспориум,1901,Снижение концентрации спор.
29.08.09,Грибы,Альтернария,6,Продолжается умеренное спороношение.
28.08.09,Грибы,Кладоспориум,2275,Спороношение умеренное.
28.08.09,Грибы,Альтернария,4,Слабое спороношение.
27.08.09,Сорняки,Маревые,1,Единичные пыльцевые зерна.
27.08.09,Грибы,Кладоспориум,1721,Интенсивность спороношения вновь снизилась.
27.08.09,Грибы,Альтернария,6,Умеренное спороношение продолжается.
26.08.09,Сорняки,Полынь,2,Единичные пылцевые зерна. Основной период пыления завершен.
26.08.09,Грибы,Кладоспориум,2754,Умеренное спороношение.
26.08.09,Грибы,Альтернария,8,Концентрация спор грибов в воздухе увеличилась.
25.08.09,Грибы,Кладоспориум,808,Спороношение очень слабое.
25.08.09,Грибы,Альтернария,1,Единичные споры грибов.
24.08.09,Грибы,Кладоспориум,2125,Снижение концентрации спор в воздухе.
24.08.09,Грибы,Альтернария,14,Снижение интенсивности спороношения.
23.08.09,Сорняки,Маревые,1,Единичные пыльцевые зерна.
23.08.09,Грибы,Кладоспориум,3144,Умеренное спороношение.
23.08.09,Грибы,Альтернария,47,Продолжается интенсивное спороношение.
22.08.09,Грибы,Кладоспориум,3847,Умеренное спороношение.
22.08.09,Грибы,Альтернария,49,Очень интенсивное спороношение.
21.08.09,Сорняки,Крапива,1,Пыление завершено.
21.08.09,Грибы,Кладоспориум,4940,Усиление спороношения.
21.08.09,Грибы,Альтернария,29,Интенсивное спороношение.
20.08.09,Грибы,Кладоспориум,2769,Снижение концентрации спор.
20.08.09,Грибы,Альтернария,11,Увеличение концентрации спор.
19.08.09,Злаки,Злаки,1,Единичные пыльцевые зерна.
19.08.09,Сорняки,Крапива,3,Единичные пыльцевые зерна.
19.08.09,Грибы,Кладоспориум,3832,Снижение концентрации спор.
19.08.09,Грибы,Альтернария,6,Умеренное спороношение.
18.08.09,Злаки,Злаки,5,Слабое пыление.
18.08.09,Сорняки,Маревые,3,Единичные пыльцевые зерна.
18.08.09,Сорняки,Крапива,5,Пыление очень слабое.
