Дата,Группа аллергенов,Пыльца и споры,"Концентрация, ед/1 м3",Комментарий
28.06.12,Хвойные деревья,Сосна,10.08,концентрация единичная
28.06.12,Злаки,Злаки,2.52,концентрация единичная
28.06.12,Сорняки,Подорожник,1.68,концентрация единичная
28.06.12,Сорняки,Крапива,8.4,концентрация низкая
28.06.12,Грибы,Кладоспориум,80.5,концентрация единичная
27.06.12,Хвойные деревья,Сосна,11.76,концентрация низкая
27.06.12,Злаки,Злаки,1.68,концентрация единичная
27.06.12,Сорняки,Крапива,0.84,концентрация единичная
27.06.12,Грибы,Кладоспориум,34.5,концентрация единичная
25.06.12,Лиственные деревья,Береза,0.84,концентрация единичная
25.06.12,Хвойные деревья,Сосна,23.25,концентрация низкая
25.06.12,Злаки,Злаки,0.84,концентрация единичная
25.06.12,Сорняки,Подорожник,0.84,концентрация единичная
25.06.12,Грибы,Кладоспориум,218.5,концентрация низкая
25.06.12,Грибы,Альтернария,11.5,концентрация единичная
24.06.12,Лиственные деревья,Береза,2.52,концентрация единичная
24.06.12,Хвойные деревья,Сосна,28.56,концентрация низкая
24.06.12,Злаки,Злаки,6.72,концентрация низкая
24.06.12,Сорняки,Подорожник,0.84,концентрация единичная
24.06.12,Сорняки,Крапива,0.84,концентрация единичная
24.06.12,Грибы,Кладоспориум,253,концентрация низкая
24.06.12,Грибы,Альтернария,34.5,концентрация единичная
23.06.12,Хвойные деревья,Сосна,37.8,концентрация низкая
23.06.12,Злаки,Злаки,7.56,концентрация низкая
23.06.12,Сорняки,Подорожник,0.84,концентрация единичная
23.06.12,Сорняки,Крапива,1.68,концентрация единичная
23.06.12,Сорняки,Полынь,0.84,концентрация единичная
23.06.12,Грибы,Кладоспориум,862.5,концентрация низкая
23.06.12,Грибы,Альтернария,103.5,концентрация низкая
22.06.12,Лиственные деревья,Береза,3.36,концентрация единичная
22.06.12,Хвойные деревья,Сосна,167.16,концентрация ниже среднего
22.06.12,Злаки,Злаки,11.76,концентрация низкая
22.06.12,Сорняки,Подорожник,0.84,концентрация единичная
22.06.12,Сорняки,Крапива,10.08,концентрация низкая
22.06.12,Грибы,Кладоспориум,484,концентрация низкая
22.06.12,Грибы,Альтернария,57.5,концентрация единичная
21.06.12,Лиственные деревья,Береза,1.68,концентрация единичная
21.06.12,Хвойные деревья,Сосна,225.1,концентрация средняя
21.06.12,Злаки,Злаки,21.84,концентрация низкая
21.06.12,Сорняки,Подорожник,2.52,концентрация единичная
21.06.12,Сорняки,Крапива,18.48,концентрация низкая
21.06.12,Грибы,Кладоспориум,1104,концентрация низкая
21.06.12,Грибы,Альтернария,23,концентрация единичная
20.06.12,Лиственные деревья,Береза,34.44,концентрация низкая
20.06.12,Хвойные деревья,Ель,1.68,концентрация единичная
20.06.12,Хвойные деревья,Сосна,99.6,концентрация низкая
20.06.12,Злаки,Злаки,2.52,концентрация единичная
20.06.12,Сорняки,Подорожник,0.84,концентрация единичная
19.06.12,Лиственные деревья,Ольха,5.04,концентрация единичная
