Дата,Группа аллергенов,Пыльца и споры,"Концентрация, ед/1 м3",Комментарий
27.06.12,Злаки,Злаки,9,
27.06.12,Сорняки,Маревые,3,
27.06.12,Сорняки,Подорожник,5,
27.06.12,Сорняки,Крапива,7,
27.06.12,Сорняки,Полынь,2,
20.06.12,Лиственные деревья,Липа,2,пыление практически завершилось
20.06.12,Хвойные деревья,Ель,2,концентрация пыльцы низкая
20.06.12,Злаки,Злаки,34,концентрация пыльцы средняя
20.06.12,Сорняки,Подорожник,5,концентрация пыльцы низкая
20.06.12,Сорняки,Крапива,29,пыление продолжается
05.06.12,Лиственные деревья,Липа,27,выраженное пыление
05.06.12,Злаки,Злаки,49,пыление продолжается
05.06.12,Сорняки,Подорожник,15,концентрация пыльцы незначительная
05.06.12,Сорняки,Крапива,19,
27.05.12,Лиственные деревья,Липа,24,
27.05.12,Злаки,Злаки,58,снижение концентрации пыльцы
27.05.12,Сорняки,Подорожник,12,концентрация пыльцы незначительная
27.05.12,Сорняки,Крапива,32,концентрация пыльцы средняя
18.05.12,Лиственные деревья,Липа,2,
18.05.12,Хвойные деревья,Ель,5,
18.05.12,Хвойные деревья,Сосна,7,
18.05.12,Злаки,Злаки,127,период активного пыления
18.05.12,Сорняки,Крапива,87,период активного пыления
08.05.12,Лиственные деревья,Береза,32,концентрация пыльцы незначительная
08.05.12,Лиственные деревья,Клен,7,пыление завершилось
08.05.12,Лиственные деревья,Ясень,11,пыление завершилось
08.05.12,Лиственные деревья,Ива,2,
08.05.12,Злаки,Злаки,76,выраженное пыление
08.05.12,Сорняки,Крапива,6,концентрация пыльцы низкая
30.04.12,Лиственные деревья,Тополь,63,концентрация пыльцы снизилась
30.04.12,Лиственные деревья,Береза,264,концентрация пыльцы значительно снизилась
30.04.12,Лиственные деревья,Клен,12,пыление завершается
30.04.12,Лиственные деревья,Ясень,48,концентрация пыльцы умеренная
30.04.12,Лиственные деревья,Ива,2,пыление завершилось
30.04.12,Лиственные деревья,Дуб,6,концентрация пыльцы низкая
30.04.12,Злаки,Злаки,17,нарастание концентрации пыльцы
24.04.12,Лиственные деревья,Ольха,0,пыление закончилось
24.04.12,Лиственные деревья,Орешник,0,пыление закончилось
24.04.12,Лиственные деревья,Тополь,232,высокая концентрация пыльцы сохраняется
24.04.12,Лиственные деревья,Береза,467,высокая концентрация пыльцы сохраняется
24.04.12,Лиственные деревья,Клен,12,отмечается снижение концентрации пыльцы
24.04.12,Лиственные деревья,Вяз,2,
24.04.12,Лиственные деревья,Ясень,68,
24.04.12,Лиственные деревья,Ива,11,пыление завершается
24.04.12,Лиственные деревья,Дуб,5,
24.04.12,Злаки,Злаки,3,обнаружены первые пыльцевые зерна
20.04.12,Лиственные деревья,Ольха,4,пыление завершилось
20.04.12,Лиственные деревья,Орешник,2,пыление завершилось
20.04.12,Лиственные деревья,Тополь,136,концентрация пыльцы высокая
20.04.12,Лиственные деревья,Береза,476,концентрация пыльцы крайне высокая
20.04.12,Лиственные деревья,Клен,31,
20.04.12,Лиственные деревья,Вяз,6,
20.04.12,Лиственные деревья,Ясень,42,пыление умеренное
20.04.12,Лиственные деревья,Ива,180,интенсивное пыление завершается
20.04.12,Лиственные деревья,Дуб,12,концентрация пыльцы невысокая
20.04.12,Хвойные деревья,Ель,2,
20.04.12,Хвойные деревья,Сосна,1,
16.04.12,Лиственные деревья,Ольха,56,концентрация постепенно снижается
16.04.12,Лиственные деревья,Орешник,11,пыление завершается
16.04.12,Лиственные деревья,Тополь,123,пыление приближается к максимальному
