Дата,Группа аллергенов,Пыльца и споры,"Концентрация, ед/1 м3",Комментарий
28.06.12,Лиственные деревья,Липа,6,Основное пыление
28.06.12,Злаки,Злаки,8,"Основное пыление, концентрация пыльцы снижена из-за похолодания"
28.06.12,Сорняки,Маревые,1,
28.06.12,Сорняки,Щавель,2,
28.06.12,Сорняки,Крапива,176,"Основное пыление, в конце недели ожидается увеличение концентрации пыльцы"
28.06.12,Грибы,Кладоспориум,1568,
28.06.12,Грибы,Альтернария,12,
27.06.12,Лиственные деревья,Липа,25,"Интенсивное пыление, увеличения концентрации пыльцы не ожидается"
27.06.12,Злаки,Злаки,32,"Основной период пыления, концентрация пыльцы стабильная"
27.06.12,Сорняки,Маревые,3,Начало пыления
27.06.12,Сорняки,Щавель,5,"Основной период пыления, увеличения концентрации пыльцы не ожидается"
27.06.12,Сорняки,Крапива,560,"Интенсивное пыление, возможно увеличение концентрации пыльцы в конце недели"
27.06.12,Грибы,Кладоспориум,1882,Интенсивное спороношение
27.06.12,Грибы,Альтернария,47,Спороношение умеренное
26.06.12,Злаки,Злаки,52,"Основное пыление, концентрация пыльцы будет оставаться высокой"
26.06.12,Сорняки,Маревые,1,Начало пыления
26.06.12,Сорняки,Щавель,6,Основное пыление
26.06.12,Сорняки,Крапива,656,"Основное пыление, концентрация пыльцы может возрастать"
26.06.12,Грибы,Кладоспориум,4019,Спороношение интенсивное
26.06.12,Грибы,Альтернария,25,Спороношение умеренное
25.06.12,Злаки,Злаки,18,"Основной период пыления, существенного увеличения концентрации пыльцы не ожидается"
25.06.12,Сорняки,Маревые,1,Начало пыления
25.06.12,Сорняки,Щавель,1,
25.06.12,Сорняки,Крапива,249,"Основное пыление, концентрация пыльцы может возрастать"
25.06.12,Грибы,Кладоспориум,1043,Спороношение умеренное
25.06.12,Грибы,Альтернария,3,Спороношение слабое
22.06.12,Лиственные деревья,Береза,1,Пыление закончилось
22.06.12,Лиственные деревья,Липа,1,Начало пыления
22.06.12,Хвойные деревья,Сосна,1,Пыление закончилось
22.06.12,Злаки,Злаки,39,"Основной период пыления, существенного увеличения концентрации пыльцы не ожидается"
22.06.12,Сорняки,Маревые,1,"Появились первые пыльцевые зерна, основное пыление ожидается в середине июля-начале августа"
22.06.12,Сорняки,Подорожник,1,Увеличения концентрации пыльцы не ожидается
