Дата,Группа аллергенов,Пыльца и споры,"Концентрация, ед/1 м3",Комментарий
27.06.12,Лиственные деревья,Липа,14,Продолжается сезон пыления
27.06.12,Злаки,Злаки,54,Продолжается сезон пыления
27.06.12,Сорняки,Маревые,2,Начинается сезон пыления
27.06.12,Сорняки,Щавель,3,Продолжается сезон пыления
27.06.12,Сорняки,Крапива,59,Продолжается сезон пыления
27.06.12,Грибы,Кладоспориум,11,Спорообразование на низком уровне
27.06.12,Грибы,Альтернария,2,Спорообразование на низком уровне
20.06.12,Злаки,Злаки,12,Продолжается сезон пыления
20.06.12,Сорняки,Подорожник,5,Продолжается сезон пыления
20.06.12,Сорняки,Крапива,11,Продолжается сезон пыления
20.06.12,Грибы,Кладоспориум,18,Спорообразование на низком уровне
20.06.12,Грибы,Альтернария,1,Спорообразование на низком уровне
08.06.12,Лиственные деревья,Береза,11,Закончился сезон пыления
08.06.12,Лиственные деревья,Ива,1,Закончился сезон пыления
08.06.12,Хвойные деревья,Сосна,9,Закончился сезон пыления
08.06.12,Злаки,Злаки,10,Продолжается сезон пыления
08.06.12,Сорняки,Щавель,7,Продолжается сезон пыления
08.06.12,Сорняки,Крапива,5,Начинается сезон пыления
08.06.12,Грибы,Кладоспориум,13,Спорообразование на низком уровне
08.06.12,Грибы,Альтернария,9,Спорообразование на низком уровне
05.06.12,Лиственные деревья,Береза,11,Закончился сезон пыления
05.06.12,Хвойные деревья,Ель,1,Закончился сезон пыления
05.06.12,Хвойные деревья,Сосна,6,Закончился сезон пыления
05.06.12,Злаки,Злаки,5,"Продолжается основной сезон пыления, ожидается рост концентрации"
05.06.12,Грибы,Кладоспориум,24,Спорообразование на низком уровне
05.06.12,Грибы,Альтернария,2,Спорообразование на низком уровне
01.06.12,Лиственные деревья,Береза,2,Закончился сезон пыления
01.06.12,Хвойные деревья,Сосна,10,Закончился сезон пыления
01.06.12,Злаки,Злаки,7,Продолжается сезон пыления
01.06.12,Сорняки,Щавель,3,Продолжается сезон пыления
01.06.12,Грибы,Кладоспориум,41,Спорообразование на низком уровне
01.06.12,Грибы,Альтернария,2,Спорообразование на низком уровне
29.05.12,Лиственные деревья,Береза,4,Закончился сезон пыления
29.05.12,Лиственные деревья,Дуб,0,Закончился сезон пыления
29.05.12,Хвойные деревья,Сосна,16,Закончился сезон пыления
29.05.12,Злаки,Злаки,12,Продолжается сезон пыления
29.05.12,Сорняки,Щавель,4,Начинается сезон пыления
29.05.12,Грибы,Кладоспориум,11,Спорообразование на низком уровне
29.05.12,Грибы,Альтернария,6,Спорообразование на низком уровне
25.05.12,Лиственные деревья,Береза,62,Заканчивается сезон пыления
25.05.12,Лиственные деревья,Дуб,7,Заканчивается сезон пыления
25.05.12,Хвойные деревья,Сосна,523,Продолжается сезон пыления
25.05.12,Злаки,Злаки,1,Начинается сезон пыления
22.05.12,Лиственные деревья,Береза,13,Закончился сезон пыления
22.05.12,Лиственные деревья,Ива,0,Закончился сезон пыления
22.05.12,Лиственные деревья,Дуб,29,Заканчивается сезон пыления
22.05.12,Хвойные деревья,Ель,1,Закончился сезон пыления
22.05.12,Хвойные деревья,Сосна,86,Заканчивается сезон пыления
22.05.12,Злаки,Злаки,4,Начинается сезон пыления
22.05.12,Грибы,Альтернария,5,Спорообразование на низком уровне
18.05.12,Лиственные деревья,Береза,22,Заканчивается сезон пыления
18.05.12,Лиственные деревья,Ива,6,Заканчивается сезон пыления
18.05.12,Лиственные деревья,Дуб,5,Заканчивается сезон пыления
18.05.12,Хвойные деревья,Ель,0,Закончился сезон пыления
18.05.12,Хвойные деревья,Сосна,682,Активный сезон пыления
16.05.12,Лиственные деревья,Береза,106,Заканчивается сезон пыления
16.05.12,Лиственные деревья,Ива,7,Заканчивается сезон пыления
16.05.12,Лиственные деревья,Дуб,17,Заканчивается сезон пыления
16.05.12,Хвойные деревья,Ель,0,Заканчивается сезон пыления
16.05.12,Хвойные деревья,Сосна,784,Активный сезон пыления
14.05.12,Лиственные деревья,Береза,91,Заканчивается сезон пыления
14.05.12,Лиственные деревья,Ива,3,Заканчивается сезон пыления
14.05.12,Лиственные деревья,Дуб,143,Активный сезон пыления
14.05.12,Хвойные деревья,Ель,0,Начинается сезон пыления
14.05.12,Хвойные деревья,Сосна,9,Начинается сезон пыления
11.05.12,Лиственные деревья,Тополь,0,Закончился сезон пыления
11.05.12,Лиственные деревья,Береза,32,Заканчивается сезон пыления
11.05.12,Лиственные деревья,Клен,0,Закончился сезон пыления
11.05.12,Лиственные деревья,Вяз,0,Закончился сезон пыления
11.05.12,Лиственные деревья,Ясень,0,Закончился сезон пыления
11.05.12,Лиственные деревья,Ива,1,Заканчивается сезон пыления
11.05.12,Лиственные деревья,Дуб,16,Активный сезон пыления
04.05.12,Лиственные деревья,Тополь,2,Заканчивается сезон пыления
04.05.12,Лиственные деревья,Береза,170,Продолжается сезон пыления
04.05.12,Лиственные деревья,Клен,3,Продолжается сезон пыления
04.05.12,Лиственные деревья,Вяз,0,Заканчивается сезон пыления
04.05.12,Лиственные деревья,Ясень,7,Продолжается сезон пыления
04.05.12,Лиственные деревья,Ива,4,Продолжается сезон пыления
02.05.12,Лиственные деревья,Тополь,5,Продолжается сезон пыления
02.05.12,Лиственные деревья,Береза,317,Продолжается сезон пыления
02.05.12,Лиственные деревья,Клен,11,Продолжается сезон пыления
02.05.12,Лиственные деревья,Ива,15,Продолжается сезон пыления
02.05.12,Грибы,Альтернария,3,Спорообразование на низком уровне
28.04.12,Лиственные деревья,Ольха,1,Закончился сезон пыления
28.04.12,Лиственные деревья,Орешник,0,Закончился сезон пыления
28.04.12,Лиственные деревья,Тополь,296,Продолжается сезон пыления
28.04.12,Лиственные деревья,Береза,16120,Сезон пыления в разгаре
28.04.12,Лиственные деревья,Клен,95,Начинается сезон пыления
28.04.12,Лиственные деревья,Вяз,4,Заканчивается сезон пыления
28.04.12,Лиственные деревья,Ясень,7,Начинается сезон пыления
28.04.12,Лиственные деревья,Ива,17,Продолжается сезон пыления
28.04.12,Грибы,Кладоспориум,76,Спорообразование на невысоком уровне
28.04.12,Грибы,Альтернария,1,Спорообразование на низком уровне
25.04.12,Лиственные деревья,Ольха,5,Пыление заканчивается
25.04.12,Лиственные деревья,Орешник,1,Пыление заканчивается
25.04.12,Лиственные деревья,Тополь,1094,Сезон пыления в разгаре
25.04.12,Лиственные деревья,Береза,2411,Сезон пыления в разгаре
25.04.12,Лиственные деревья,Вяз,127,Сезон пыления в разгаре
25.04.12,Лиственные деревья,Ива,56,Пыление продолжается
25.04.12,Грибы,Кладоспориум,23,Спорообразование на низком уровне
23.04.12,Лиственные деревья,Ольха,20,Продолжается сезон пыления
23.04.12,Лиственные деревья,Орешник,9,Продолжается сезон пыления
23.04.12,Лиственные деревья,Тополь,1456,Сезон пыления тополя (осины) в разгаре
23.04.12,Лиственные деревья,Береза,183,Начинается сезон пыления
23.04.12,Лиственные деревья,Вяз,5,Начинается сезон пыления
23.04.12,Лиственные деревья,Ива,4,Начинается сезон пыления
23.04.12,Грибы,Кладоспориум,12,Спорообразование на низком уровне
23.04.12,Грибы,Альтернария,2,Спорообразование на низком уровне
19.04.12,Лиственные деревья,Ольха,26,Продолжается интенсивное пыление
19.04.12,Лиственные деревья,Орешник,37,Продолжается интенсивное пыление
19.04.12,Лиственные деревья,Тополь,8,Начинается сезон пыления тополя
19.04.12,Лиственные деревья,Береза,0,Начало сезона пыления березы ожидается после 25 апреля
19.04.12,Грибы,Кладоспориум,15,Спорообразование на низком уровне
13.09.11,Сорняки,Крапива,0,Пыление закончилось
13.09.11,Сорняки,Полынь,1,Пыление закончилось
13.09.11,Сорняки,Амброзия,0,Пыление закончилось
13.09.11,Грибы,Кладоспориум,17,Спорообразование на низком уровне
13.09.11,Грибы,Альтернария,2,Спорообразование на низком уровне
06.09.11,Сорняки,Крапива,4,Пыление заканчивается
06.09.11,Сорняки,Полынь,1,Пыление закончилось
06.09.11,Сорняки,Амброзия,5,Пыление продолжается
06.09.11,Грибы,Кладоспориум,7,Спорообразование на низком уровне
06.09.11,Грибы,Альтернария,17,Спорообразование на среднем уровне
29.08.11,Сорняки,Крапива,5,Пыление заканчивается
29.08.11,Сорняки,Полынь,4,Пыление заканчивается
29.08.11,Грибы,Кладоспориум,12,Спорообразование на низком уровне
29.08.11,Грибы,Альтернария,2,Спорообразование на низком уровне
25.08.11,Сорняки,Крапива,5,Пыление продолжается
