Дата,Группа аллергенов,Пыльца и споры,"Концентрация, ед/1 м3",Комментарий
27.06.12,Лиственные деревья,Липа,79,"Высокая концентрация пыльцы.Старт пыления 22.06.2012, предполагаемая продолжительность пыления 32 дня."
27.06.12,Злаки,Злаки,40,"Средняя концентрация пыльцы.Старт пыления 13.05.2012, предполагаемая продолжительность пыления 46 дней."
27.06.12,Сорняки,Подорожник,4,"Низкая концентрация пыльцы.Старт пыления 10.06.2012, предполагаемая продолжительность пыления 40 дней."
27.06.12,Сорняки,Щавель,138,"Средняя концентрация пыльцы.Старт пыления 7.06.2012, предполагаемая продолжительность пыления 34 дня."
27.06.12,Сорняки,Крапива,4,"Низкая концентрация пыльцы.Старт пыления 14.06.2012, предполагаемая продолжительность пыления 87 дней."
26.06.12,Лиственные деревья,Липа,8,"Низкая концентрация пыльцы.Старт пыления 22.06.2012, предполагаемая продолжительность пыления 33 дня."
26.06.12,Злаки,Злаки,60,"Высокая концентрация пыльцы.Старт пыления 13.05.2012, предполагаемая продолжительность пыления 47 дней."
26.06.12,Сорняки,Маревые,2,"Низкая концентрация пыльцы.Старт пыления 10.06.2012, предполагаемая продолжительность пыления 67 дней."
26.06.12,Сорняки,Щавель,105,"Средняя концентрация пыльцы.Старт пыления 7.06.2012, предполагаемая продолжительность пыления 35 дней."
26.06.12,Сорняки,Крапива,31,"Низкая концентрация пыльцы.Старт пыления 14.06.2012, предполагаемая продолжительность пыления 88 дней."
26.06.12,Сорняки,Полынь,11,"Низкая концентрация пыльцы.Старт пыления 28.06.2012, предполагаемая продолжительность пыления 73 дня."
25.06.12,Лиственные деревья,Орешник,4,"Низкая концентрация пыльцы. Старт пыления 2.05.2012, предполагаемая продолжительность пыления 18 дней."
25.06.12,Хвойные деревья,Сосна,8,Низкая концентрация пыльцы.Затяжное пыление.
25.06.12,Злаки,Злаки,27,"Низкая концентрация пыльцы.Начало основного пыления, концентрация пыльцы будет нарастать. Старт пыления 13.05.2012, предполагаемая продолжительность пыления 48 дней."
25.06.12,Сорняки,Подорожник,11,"Низкая концентрация пыльцы.Старт пыления 10.06.2012, предполагаемая продолжительность пыления 42 дня."
