Дата,Группа аллергенов,Пыльца и споры,"Концентрация, ед/1 м3",Комментарий
26.06.12,Злаки,Злаки,230,
26.06.12,Сорняки,Подорожник,10,
26.06.12,Сорняки,Щавель,10,
26.06.12,Сорняки,Крапива,24,
26.06.12,Сорняки,Полынь,8,
22.06.12,Хвойные деревья,Сосна,20,
22.06.12,Злаки,Злаки,120,
22.06.12,Сорняки,Подорожник,30,
22.06.12,Сорняки,Щавель,8,
22.06.12,Сорняки,Крапива,26,
22.06.12,Сорняки,Полынь,10,цветут ранние виды полыни
11.06.12,Лиственные деревья,Липа,2,
11.06.12,Хвойные деревья,Сосна,8,
11.06.12,Злаки,Злаки,120,
11.06.12,Сорняки,Маревые,2,
11.06.12,Сорняки,Подорожник,6,
11.06.12,Сорняки,Щавель,4,
06.06.12,Лиственные деревья,Липа,12,
06.06.12,Хвойные деревья,Сосна,40,
06.06.12,Злаки,Злаки,720,
06.06.12,Сорняки,Полынь,6,
01.06.12,Лиственные деревья,Липа,20,
01.06.12,Хвойные деревья,Сосна,15,
01.06.12,Злаки,Злаки,640,
01.06.12,Сорняки,Подорожник,120,
01.06.12,Сорняки,Щавель,30,
01.06.12,Сорняки,Крапива,10,
24.05.12,Лиственные деревья,Береза,12,Занос пыльцы из предгорий
24.05.12,Лиственные деревья,Липа,40,
24.05.12,Хвойные деревья,Ель,50,
24.05.12,Хвойные деревья,Сосна,10,
24.05.12,Злаки,Злаки,120,
24.05.12,Сорняки,Подорожник,10,
24.05.12,Сорняки,Щавель,20,
24.05.12,Сорняки,Крапива,30,
24.05.12,Сорняки,Полынь,4,Появились первые пыльцевые зерна ранних видов полыни
22.05.12,Лиственные деревья,Липа,20,начала цвести липа
22.05.12,Хвойные деревья,Ель,10,цветение продолжается
22.05.12,Хвойные деревья,Сосна,40,пыльца сохраняется в воздухе
22.05.12,Злаки,Злаки,120,Концентация уменьшилась
22.05.12,Сорняки,Подорожник,12,зацвел подорожник
22.05.12,Сорняки,Щавель,130,
22.05.12,Сорняки,Крапива,40,
