Дата,Группа аллергенов,Пыльца и споры,"Концентрация, ед/1 м3",Комментарий
27.06.12,Хвойные деревья,Сосна,1,Единичные пыльцевые зерна
27.06.12,Злаки,Злаки,10,Слабое пыление
27.06.12,Сорняки,Маревые,2,Слабое пыление
27.06.12,Сорняки,Подорожник,2,Слабое пыление
27.06.12,Сорняки,Крапива,4,Слабое пыление
27.06.12,Грибы,Кладоспориум,280,Увеличение интенсивности спороношения
27.06.12,Грибы,Альтернария,196,Увеличение интенсивности спороношения
26.06.12,Злаки,Злаки,3,Слабое пыление
26.06.12,Сорняки,Крапива,1,Единичные пыльцевые зерна
26.06.12,Грибы,Кладоспориум,84,Снижение интенсивности спороношения
26.06.12,Грибы,Альтернария,56,Снижение интенсивности спороношения
25.06.12,Хвойные деревья,Сосна,1,Единичные пыльцевые зерна
25.06.12,Злаки,Злаки,11,Снижение интенсивности пыления
25.06.12,Сорняки,Маревые,1,Единичные пыльцевые зерна
25.06.12,Сорняки,Подорожник,4,Слабое пыление
25.06.12,Сорняки,Крапива,5,Слабое пыление
25.06.12,Грибы,Кладоспориум,210,Увеличение интенсивности спороношения
25.06.12,Грибы,Альтернария,168,Увеличение интенсивности спороношения
24.06.12,Хвойные деревья,Сосна,1,Единичные пыльцевые зерна
24.06.12,Злаки,Злаки,12,Снижение интенсивности пыления
24.06.12,Сорняки,Маревые,1,Единичные пыльцевые зерна
24.06.12,Сорняки,Подорожник,3,Слабое пыление
24.06.12,Сорняки,Крапива,4,Слабое пыление
24.06.12,Грибы,Кладоспориум,196,Увеличение интенсивности спороношения
24.06.12,Грибы,Альтернария,126,Слабое спороношение
23.06.12,Злаки,Злаки,13,Снижение интенсивности пыления
23.06.12,Сорняки,Подорожник,2,Слабое пыление
23.06.12,Сорняки,Крапива,3,Слабое пыление
23.06.12,Грибы,Кладоспориум,168,Слабое спороношение
23.06.12,Грибы,Альтернария,126,Слабое спороношение
22.06.12,Злаки,Злаки,15,Снижение интенсивности пыления
22.06.12,Сорняки,Маревые,1,Единичные пыльцевые зерна
22.06.12,Сорняки,Подорожник,3,Слабое пыление
22.06.12,Сорняки,Крапива,2,Слабое пыление
22.06.12,Грибы,Кладоспориум,196,Слабое спороношение
22.06.12,Грибы,Альтернария,168,Слабое спороношение
21.06.12,Злаки,Злаки,19,Интенсивное пыление
21.06.12,Сорняки,Маревые,1,Единичные пыльцевые зерна
21.06.12,Сорняки,Подорожник,3,Слабое пыление
21.06.12,Сорняки,Крапива,4,Слабое пыление
21.06.12,Грибы,Кладоспориум,182,Слабое спороношение
21.06.12,Грибы,Альтернария,154,Слабое спороношение
20.06.12,Хвойные деревья,Сосна,1,Единичные пыльцевые зерна
20.06.12,Злаки,Злаки,20,Интенсивное пыление
20.06.12,Сорняки,Маревые,1,Единичные пыльцевые зерна
20.06.12,Сорняки,Подорожник,2,Слабое пыление
20.06.12,Сорняки,Щавель,2,Слабое пыление
20.06.12,Сорняки,Крапива,6,Слабое пыление
20.06.12,Грибы,Кладоспориум,196,Уменьшение интенсивности спороношения
20.06.12,Грибы,Альтернария,140,Уменьшение интенсивности спороношения
19.06.12,Хвойные деревья,Сосна,1,Единичные пыльцевые зерна
19.06.12,Злаки,Злаки,20,Интенсивное пыление
19.06.12,Сорняки,Маревые,1,Единичные пыльцевые зерна
19.06.12,Сорняки,Подорожник,2,Слабое пыление
19.06.12,Сорняки,Щавель,2,Слабое пыление
19.06.12,Сорняки,Крапива,6,Слабое пыление
19.06.12,Грибы,Кладоспориум,196,Уменьшение интенсивности спороношения
19.06.12,Грибы,Альтернария,140,Уменьшение интенсивности спороношения
18.06.12,Лиственные деревья,Береза,1,Период пыления закончен
18.06.12,Хвойные деревья,Сосна,1,Период пыления закончен
18.06.12,Злаки,Злаки,20,Увеличение интенсивности пыления
18.06.12,Сорняки,Щавель,3,Слабое пыление
18.06.12,Сорняки,Крапива,6,Слабое пыление
18.06.12,Сорняки,Полынь,6,Слабое пыление
18.06.12,Грибы,Кладоспориум,252,Умеренное спороношение
18.06.12,Грибы,Альтернария,216,Умеренное спороношение
17.06.12,Лиственные деревья,Береза,1,Период пыления закончен
17.06.12,Хвойные деревья,Сосна,1,Период пыления закончен
17.06.12,Злаки,Злаки,19,Увеличение интенсивности пыления
17.06.12,Сорняки,Щавель,4,Слабое пыление
17.06.12,Сорняки,Крапива,5,Слабое пыление
17.06.12,Сорняки,Полынь,4,Слабое пыление
17.06.12,Грибы,Кладоспориум,252,Умеренное спороношение
17.06.12,Грибы,Альтернария,180,Слабое спороношение
16.06.12,Лиственные деревья,Береза,1,Период пыления закончен
16.06.12,Хвойные деревья,Сосна,1,Период пыления закончен
16.06.12,Злаки,Злаки,19,Увеличение интенсивности пыления
16.06.12,Сорняки,Щавель,3,Слабое пыление
16.06.12,Сорняки,Крапива,3,Слабое пыление
16.06.12,Сорняки,Полынь,3,Слабое пыление
16.06.12,Грибы,Кладоспориум,280,Умеренное спороношение
16.06.12,Грибы,Альтернария,156,Слабое спороношение
15.06.12,Лиственные деревья,Береза,1,Период пыления закончен
15.06.12,Хвойные деревья,Сосна,1,Период пыления закончен
15.06.12,Злаки,Злаки,18,Увеличение интенсивности пыления
15.06.12,Сорняки,Щавель,2,Единичные пыльцевые зерна
15.06.12,Сорняки,Крапива,4,Слабое пыление
15.06.12,Сорняки,Полынь,2,Единичные пыльцевые зерна
15.06.12,Грибы,Кладоспориум,280,Умеренное спороношение
15.06.12,Грибы,Альтернария,156,Слабое спороношение
14.06.12,Лиственные деревья,Береза,1,Период пыления закончен
14.06.12,Хвойные деревья,Сосна,1,Период пыления закончен
14.06.12,Злаки,Злаки,17,Увеличение интенсивности пыления
14.06.12,Сорняки,Щавель,1,Единичные пыльцевые зерна
14.06.12,Сорняки,Крапива,3,Слабое пыление
14.06.12,Сорняки,Полынь,1,Единичные пыльцевые зерна
14.06.12,Грибы,Кладоспориум,280,Умеренное спороношение
14.06.12,Грибы,Альтернария,168,Слабое спороношение
13.06.12,Лиственные деревья,Береза,2,Слабое пыление
13.06.12,Хвойные деревья,Сосна,2,Слабое пыление
13.06.12,Злаки,Злаки,15,Увеличение интенсивности пыления
13.06.12,Сорняки,Полынь,2,Слабое пыление
13.06.12,Грибы,Кладоспориум,280,Умеренное спороношение
13.06.12,Грибы,Альтернария,168,Слабое спороношение
13.06.12,Лиственные деревья,Орех обыкновенный,0,
12.06.12,Лиственные деревья,Береза,3,Слабое пыление
12.06.12,Злаки,Злаки,16,Увеличение интенсивности пыления
12.06.12,Грибы,Кладоспориум,252,Умеренное спороношение
12.06.12,Грибы,Альтернария,182,Слабое спороношение
11.06.12,Лиственные деревья,Береза,3,Слабое пыление
11.06.12,Хвойные деревья,Сосна,2,Слабое пыление
11.06.12,Злаки,Злаки,11,Слабое пыление
11.06.12,Сорняки,Крапива,3,Слабое пыление
11.06.12,Сорняки,Полынь,1,Начало пыления
11.06.12,Грибы,Кладоспориум,280,Увеличение интенсивности спороношения
11.06.12,Грибы,Альтернария,182,Увеличение интенсивности спороношения
10.06.12,Лиственные деревья,Береза,7,Слабое пыление
10.06.12,Хвойные деревья,Сосна,3,Слабое пыление
10.06.12,Злаки,Злаки,9,Слабое пыление
10.06.12,Сорняки,Крапива,4,Слабое пыление
10.06.12,Сорняки,Полынь,1,Начало пыления
10.06.12,Грибы,Кладоспориум,280,Увеличение интенсивности спороношения
10.06.12,Грибы,Альтернария,182,Увеличение интенсивности спороношения
09.06.12,Лиственные деревья,Береза,9,Слабое пыление
09.06.12,Хвойные деревья,Сосна,2,Слабое пыление
09.06.12,Злаки,Злаки,7,Слабое пыление
09.06.12,Сорняки,Крапива,3,Слабое пыление
09.06.12,Сорняки,Полынь,1,Начало пыления
09.06.12,Грибы,Кладоспориум,392,Увеличение интенсивности спороношения
09.06.12,Грибы,Альтернария,280,Увеличение интенсивности спороношения
08.06.12,Лиственные деревья,Береза,10,Слабое пыление
08.06.12,Хвойные деревья,Сосна,1,Единичные пыльцевые зерна
08.06.12,Злаки,Злаки,5,Слабое пыление
08.06.12,Сорняки,Крапива,2,Слабое пыление
08.06.12,Грибы,Кладоспориум,392,Увеличение интенсивности спороношения
08.06.12,Грибы,Альтернария,280,Увеличение интенсивности спороношения
07.06.12,Лиственные деревья,Береза,10,Слабое пыление
07.06.12,Хвойные деревья,Сосна,1,Единичные пыльцевые зерна
07.06.12,Злаки,Злаки,7,Слабое пыление
07.06.12,Сорняки,Крапива,3,Слабое пыление
07.06.12,Грибы,Кладоспориум,308,Увеличение интенсивности спороношения
07.06.12,Грибы,Альтернария,210,Увеличение интенсивности спороношения
06.06.12,Лиственные деревья,Береза,12,Умеренное пыление
06.06.12,Хвойные деревья,Сосна,2,Слабое пыление
06.06.12,Злаки,Злаки,8,Умеренное пыление
06.06.12,Сорняки,Крапива,4,Начало пыления
06.06.12,Грибы,Кладоспориум,280,Увеличение интенсивности спороношения
06.06.12,Грибы,Альтернария,168,Увеличение интенсивности спороношения
05.06.12,Лиственные деревья,Береза,8,Умеренное пыление
05.06.12,Злаки,Злаки,9,Умеренное пыление
05.06.12,Сорняки,Крапива,1,Единичные пыльцевые зерна
05.06.12,Грибы,Альтернария,168,Увеличение интенсивности спороношения
05.06.12,Лиственные деревья,Ольха,262,Увеличение интенсивности спороношения
04.06.12,Лиственные деревья,Береза,10,Увеличение интенсивности пыления
04.06.12,Хвойные деревья,Ель,0,
04.06.12,Хвойные деревья,Сосна,1,Единичные пыльцевые зерна
