Дата,Группа аллергенов,Пыльца и споры,"Концентрация, ед/1 м3",Комментарий
27.06.12,Злаки,Злаки,1.3,Продолжается период пыления злаков.
27.06.12,Сорняки,Крапива,9.1,Продолжается цветение крапивы.
27.06.12,Грибы,Кладоспориум,2.1,Концентрация грибов в воздухе города очень низкая.
25.06.12,Лиственные деревья,Береза,4.7,Период пыления березы закончился. Вторичный занос пыльцевых зерен в воздушный бассейн города.
25.06.12,Хвойные деревья,Сосна,4.2,Период пыления сосны закончился. Вторичный занос пыльцевых зерен в воздушный бассейн города.
25.06.12,Злаки,Злаки,4.7,Продолжается период пыления злаков.
25.06.12,Сорняки,Щавель,1,Продолжается период цветения щавеля на территории города и области.
25.06.12,Сорняки,Крапива,1.6,Продолжается цветение крапивы.
25.06.12,Грибы,Кладоспориум,1,Концентрация грибов в воздухе города очень низкая.
22.06.12,Лиственные деревья,Береза,1.3,Период пыления березы закончился. Вторичный занос пыльцевых зерен в воздушный бассейн города.
22.06.12,Хвойные деревья,Сосна,11.2,Период пыления сосны закончился. Вторичный занос пыльцевых зерен в воздушный бассейн города.
22.06.12,Злаки,Злаки,1.3,Продолжается период пыления злаков.
22.06.12,Сорняки,Подорожник,0.5,Продолжается цветение подорожника.
20.06.12,Лиственные деревья,Береза,3.6,Период пыления березы закончился. Вторичный занос пыльцевых зерен в воздушный бассейн города.
20.06.12,Хвойные деревья,Сосна,7.8,Закончился период пыления сосны на территории области. Вторичный занос пыльцевых зерен в воздушный бассейн города.
20.06.12,Злаки,Злаки,4.7,Продолжается период пыления злаков.
20.06.12,Сорняки,Крапива,3.1,Продолжается цветение крапивы.
20.06.12,Грибы,Кладоспориум,5.2,Концентрация грибов в воздухе города низкая.
18.06.12,Лиственные деревья,Береза,3.9,Период пыления березы закончился. Вторичный занос пыльцевых зерен в воздушный бассейн города.
18.06.12,Хвойные деревья,Ель,0.5,Период пыления ели закончился. Вторичный занос пыльцевых зерен в воздушный бассейн города.
18.06.12,Хвойные деревья,Сосна,0.8,Закончился период пыления сосны на территории области.
18.06.12,Злаки,Злаки,0.5,Продолжается период пыления злаков.
18.06.12,Грибы,Кладоспориум,5.2,Концентрация грибов в воздухе города низкая.
15.06.12,Лиственные деревья,Береза,0.5,Период пыления березы закончился. Вторичный занос пыльцевых зерен в воздушный бассейн города.
15.06.12,Хвойные деревья,Сосна,6.8,Заканчивается период пыления сосны на территории области.
15.06.12,Злаки,Злаки,0.5,Продолжается период пыления злаков.
15.06.12,Сорняки,Крапива,2.1,Начинается цветение крапивы.
15.06.12,Грибы,Кладоспориум,18.7,Концентрация грибов в воздухе города низкая.
15.06.12,Грибы,Альтернария,0.5,Концентрация грибов в воздухе города очень низкая.
13.06.12,Хвойные деревья,Сосна,6.8,Заканчивается период пыления сосны на территории области.
13.06.12,Злаки,Злаки,0.3,Продолжается период пыления злаков.
09.06.12,Лиственные деревья,Береза,2.6,Период пыления березы закончился. Вторичный занос пыльцевых зерен в воздушный бассейн города.
09.06.12,Хвойные деревья,Сосна,62.9,Продолжается период пыления сосны на территории области.
09.06.12,Грибы,Кладоспориум,0.5,Концентрация грибов в воздухе города очень низкая.
08.06.12,Лиственные деревья,Береза,0.5,Период пыления березы закончился. Вторичный занос пыльцевых зерен в воздушный бассейн города.
08.06.12,Хвойные деревья,Сосна,2.9,Продолжается период пыления сосны на территории области.
08.06.12,Злаки,Злаки,0.5,Продолжается период пыления раннецветущих видов злаков.
08.06.12,Сорняки,Щавель,0.3,Начинается период цветения щавеля на территории города и области.
08.06.12,Грибы,Кладоспориум,6.5,Концентрация грибов в воздухе города очень низкая.
06.06.12,Лиственные деревья,Береза,2.1,Период пыления березы закончился. Вторичный занос пыльцевых зерен в воздушный бассейн города.
06.06.12,Хвойные деревья,Сосна,34.3,Продолжается период пыления сосны на территории области.
06.06.12,Злаки,Злаки,0.5,Продолжается период пыления раннецветущих видов злаков.
06.06.12,Грибы,Кладоспориум,6.2,Концентрация грибов в воздухе города очень низкая.
06.06.12,Грибы,Альтернария,1,Концентрация грибов в воздухе города крайне низкая.
04.06.12,Лиственные деревья,Береза,3.1,Период пыления березы закончился. Вторичный занос пыльцевых зерен в воздушный бассейн города.
04.06.12,Хвойные деревья,Ель,0.3,Закончился период пыления ели на территории города и области.
04.06.12,Хвойные деревья,Сосна,13.5,Продолжается период пыления сосны на территории области. Высокая влажность сдерживает рост концентрации пыльцы в воздухе.
04.06.12,Злаки,Злаки,0.5,Начался период пыления раннецветущих видов злаков.
04.06.12,Грибы,Кладоспориум,2.1,Концентрация грибов в воздухе города очень низкая.
01.06.12,Лиственные деревья,Береза,8.3,Период пыления березы закончился. Вторичный занос пыльцевых зерен в воздушный бассейн города.
01.06.12,Хвойные деревья,Ель,1.6,Заканчивается период пыления ели на территории города и области.
01.06.12,Хвойные деревья,Сосна,74.8,Начался период пыления сосны на юге области. В ближайшее время концентрация пыльцы в воздухе возрастет.
30.05.12,Лиственные деревья,Береза,25.74,Период пыления березы закончился. Вторичный занос пыльцевых зерен в воздушный бассейн города.
