Дата,Группа аллергенов,Пыльца и споры,"Концентрация, ед/1 м3",Комментарий
29.06.12,Злаки,Злаки,38,концентрация пыльцы средняя
29.06.12,Сорняки,Крапива,18,концентрация пыльцы средняя
29.06.12,Грибы,Кладоспориум,329,спороношение слабое
29.06.12,Грибы,Альтернария,70,спороношение слабое
27.06.12,Лиственные деревья,Липа,7,концентрация пыльцы низкая
27.06.12,Злаки,Злаки,320,концентрация пыльцы высокая
27.06.12,Сорняки,Подорожник,11,концентрация пыльцы низкая
27.06.12,Сорняки,Крапива,20,концентрация пыльцы средняя
27.06.12,Грибы,Кладоспориум,908,спороношение среднее
27.06.12,Грибы,Альтернария,310,спороношение низкое
26.06.12,Лиственные деревья,Липа,15,концентрация пыльцы низкая
26.06.12,Злаки,Злаки,820,концентрация пыльцы очень высокая
26.06.12,Сорняки,Подорожник,14,концентрация пыльцы низкая
26.06.12,Сорняки,Крапива,25,концентрация пыльцы средняя
26.06.12,Грибы,Кладоспориум,1204,спороношение среднее
26.06.12,Грибы,Альтернария,342,спороношение низкое
25.06.12,Лиственные деревья,Липа,12,концентрация пыльцы низкая
25.06.12,Злаки,Злаки,813,концентрация пыльцы очень высокая
25.06.12,Сорняки,Подорожник,20,концентрация пыльцы средняя
25.06.12,Сорняки,Крапива,23,концентрация пыльцы средняя
25.06.12,Грибы,Кладоспориум,1300,спороношение среднее
25.06.12,Грибы,Альтернария,413,спороношение низкое
24.06.12,Злаки,Злаки,820,концентрация пыльцы очень высокая
24.06.12,Сорняки,Подорожник,22,концентрация пыльцы средняя
24.06.12,Сорняки,Крапива,25,концентрация пыльцы средняя
24.06.12,Грибы,Кладоспориум,1116,сопороношение среднее
24.06.12,Грибы,Альтернария,422,спороношение слабое
23.06.12,Лиственные деревья,Липа,24,концентрация пыльцы средняя
23.06.12,Злаки,Злаки,812,концентрация пыльцы очень высокая
23.06.12,Сорняки,Подорожник,21,концентрация пыльцы средняя
23.06.12,Сорняки,Крапива,35,концентрация пыльцы средняя
23.06.12,Грибы,Кладоспориум,1300,спороношение среднее
23.06.12,Грибы,Альтернария,420,спороношение низкое
22.06.12,Лиственные деревья,Липа,21,концентрация пыльцы средняя
22.06.12,Злаки,Злаки,842,концентрация пыльцы очень высокая
22.06.12,Сорняки,Подорожник,22,концентрация пыльцы средняя
22.06.12,Сорняки,Крапива,34,концентрация пыльцы средняя
22.06.12,Грибы,Кладоспориум,1220,спороношение среднее
22.06.12,Грибы,Альтернария,320,спороношение низкое
21.06.12,Лиственные деревья,Липа,18,концентрация пыльцы низкая
21.06.12,Злаки,Злаки,812,концентрация пыльцы очень высокая
21.06.12,Сорняки,Подорожник,22,концентрация пыльцы средняя
21.06.12,Сорняки,Крапива,29,концентрация пыльцы средняя
21.06.12,Грибы,Кладоспориум,1230,спороношение среднее
21.06.12,Грибы,Альтернария,406,спороношение слабое
20.06.12,Лиственные деревья,Липа,25,концентрация пыльцы высокая
20.06.12,Злаки,Злаки,783,концентрация пыльцы очень высокая
20.06.12,Сорняки,Подорожник,16,концентрация пыльцы низкая
20.06.12,Сорняки,Крапива,23,концентрация пыльцы средняя
20.06.12,Грибы,Кладоспориум,1185,спороношение среднее
20.06.12,Грибы,Альтернария,431,спороношение слабое
19.06.12,Лиственные деревья,Липа,19,концентрация пыльцы низкая
19.06.12,Злаки,Злаки,742,концентрация пыльцы очень высокая
19.06.12,Сорняки,Подорожник,12,концентрация пыльцы низкая
19.06.12,Сорняки,Крапива,23,концентрация пыльцы средняя
19.06.12,Грибы,Кладоспориум,1178,спороношение среднее
19.06.12,Грибы,Альтернария,402,спрорношение низкое
18.06.12,Лиственные деревья,Липа,22,концентрация пыльцы средняя
18.06.12,Злаки,Злаки,720,концентрация пыльцы очень высокая
18.06.12,Сорняки,Подорожник,18,концентрация пыльцы низкая
18.06.12,Сорняки,Крапива,29,концентрация пыльцы средняя
18.06.12,Грибы,Кладоспориум,1200,спороношение среднее
18.06.12,Грибы,Альтернария,410,спороношение слабое
17.06.12,Лиственные деревья,Липа,23,концентрация пыльцы средняя
17.06.12,Злаки,Злаки,784,концентрация пыльцы очень высокая
17.06.12,Сорняки,Подорожник,15,концентрация пыльцы низкая
17.06.12,Сорняки,Крапива,28,концентрация пыльцы средняя
17.06.12,Грибы,Кладоспориум,970,спороношение среднее
17.06.12,Грибы,Альтернария,380,спороношение низкое
16.06.12,Лиственные деревья,Липа,13,концентрация пыльцы низкая
16.06.12,Злаки,Злаки,711,концентрация пыльцы очень высокая
16.06.12,Сорняки,Подорожник,10,концентрация пыльцы низкая
16.06.12,Сорняки,Крапива,22,концентрация пыльцы средняя
16.06.12,Грибы,Кладоспориум,900,спороношение среднее
16.06.12,Грибы,Альтернария,404,спороношение низкое
15.06.12,Лиственные деревья,Липа,22,концентрация пыльцы средняя
15.06.12,Злаки,Злаки,712,концентрация пыльцы очень высокая
15.06.12,Сорняки,Крапива,20,концентрация пыльцы средняя
15.06.12,Грибы,Кладоспориум,920,спороношение среднее
15.06.12,Грибы,Альтернария,340,спороношение низкое
14.06.12,Лиственные деревья,Липа,26,концентрация пыльцы средняя
